,State,Cases,Deaths,TempMedian,TempMean,PrcpMedian,PrcpMean,population,pop_density
0,AK,42697,179,61.0,41.079323901473614,0,24.46024444385013,737438,1.2915230609000001
1,AL,310274,4275,256.0,243.582908121276,0,50.48461006682689,4887871,96.50938865
2,AR,196257,3172,233.0,222.17161101096818,0,45.11536463902721,3013825,57.919684465
3,AZ,453597,7937,251.0,252.18640104751216,0,6.391203703703702,7171646,63.135855048
4,CA,1884033,22582,228.0,231.41580126449944,0,8.294737890177728,39557045,253.9065023
5,CO,306282,4277,161.0,153.5630176046401,0,10.97047403096626,5695564,54.955977559
6,CT,162120,5581,178.0,171.98469311933422,0,27.994947243275377,3572665,737.74459965
7,DE,50496,858,200.0,196.00409836065572,0,35.27868852459017,967171,496.43246050000005
8,FL,1171695,19934,300.0,289.64761883019037,0,43.885370531025984,21299325,397.01575445
9,GA,528626,9549,256.0,244.46228507034058,0,45.22276345923152,10519475,182.26478911
10,HI,20291,279,289.0,269.4029176797499,0,31.260854463355326,1420491,221.17691552
11,IA,265337,3484,167.0,159.41528410960188,0,21.29094797198853,3156145,56.507023548999996
12,ID,129958,1275,133.0,138.32460956148128,0,17.852690445338606,1754208,21.225798536
13,IL,810754,14791,183.0,175.77931629133698,0,29.319537431527692,12741080,229.51115613
14,IN,430157,6503,189.0,180.56320767743716,0,29.57425434962717,6691878,186.78751987
15,KS,203654,2212,222.0,206.2068370449503,0,20.105616731037887,2911505,35.610732968
16,KY,242320,2371,211.0,194.47717807762783,0,38.10742961852407,4468402,113.15179107
17,LA,249289,6017,272.0,263.4371541501976,0,45.45090909090909,4659978,107.86011234
18,MA,309111,11649,178.0,164.43269665786508,0,20.906555125073005,6902149,884.74992172
19,MD,196117,4228,206.0,202.87253366739742,0,33.58502975258378,6042718,622.26172745
20,ME,18944,292,129.0,132.2595785440613,0,26.896312260536398,1338404,43.391688419
21,MI,465405,11767,139.0,143.85587916214638,0,24.09079529333222,9995915,176.59707779
22,MN,385072,4603,133.0,126.71713352809759,0,17.002749613335627,5611179,70.469674696
23,MO,234047,2841,211.0,198.9657914668013,0,31.218631658672052,6126452,89.117470789
24,MS,181252,4263,267.0,255.1282456536464,0,45.766312937457656,2986530,63.645625458999994
25,MT,77170,864,95.0,104.763604790725,0,21.862994458489748,1062305,7.298751095
26,NC,479168,6184,228.0,219.6688906306754,0,48.28859278518037,10383620,213.56949153
27,ND,89588,1215,152.5,134.95947070572572,0,9.65079893475366,760077,11.015709613
28,NE,155195,1472,200.0,188.0358915616648,0,11.698230876925034,1929268,25.114922059
29,NH,35859,650,146.0,145.58795884669124,0,28.72024641178712,1356458,151.50059716
30,NJ,431512,18173,194.0,189.2242940385477,0,34.36360376512774,8908520,1211.3172349000001
31,NM,126731,2155,221.0,212.62987564518588,0,7.492192434174706,2095428,17.273065483
32,NV,203945,2749,161.0,164.81851075341538,0,7.6019883673745445,3034392,27.640602500000004
33,NY,846458,36088,156.0,155.20594723995498,0,26.61678558017274,19542209,414.70249405
34,OH,622806,8031,183.0,177.78039814324433,0,29.71488208355401,11689442,286.07988455
35,OK,260748,2189,261.0,243.77315051382504,0,25.179100664282064,3943079,57.482602245
36,OR,102930,1340,156.0,159.35337310692978,0,27.51115764111978,4190713,43.658853835
37,PA,559256,13754,178.0,172.34785359452619,0,29.644624613365828,12807060,286.23455445
38,RI,67801,1524,178.0,174.87864873729092,0,29.575270580518204,1057315,1022.6505771
39,SC,273406,4895,250.0,239.64584594430997,0,45.04721549636804,5084127,169.11117582
40,SD,92865,1317,172.0,156.707064933774,0,11.824109738823587,882235,11.637449389
41,TN,492585,5815,222.0,214.42259564675427,0,47.60262249496596,6770010,164.17412699
42,TX,1592099,25668,211.0,193.6163339886529,0,23.10652485786649,28701845,109.86046804
43,UT,193706,840,132.0,136.77482919513417,0,11.082402932844525,3161105,38.458214685
44,VA,223375,3483,217.0,217.18377371273712,0,40.15735094850948,8517685,215.73630393
45,VT,6433,108,150.0,147.91562799616491,0,24.73058485139022,626299,67.943995144
46,WA,221258,3101,111.0,122.03874455198958,0,45.63788419086433,7535591,113.39722716
47,WI,486620,4699,150.0,145.63173834039975,0,24.88688673531193,5813568,107.32815663
48,WV,72342,1122,193.0,187.00704567541302,0,32.42565597667638,1805832,75.11398785
49,WY,41662,351,101.0,107.43593378085636,0,15.994437164023427,577737,5.9506106574
